strain	date	clade_membership	country	region	age	age_range1	age_range2	age_range3	collab_country	date_added	symptom	author	accession	url
692-OsakaCity-JPN-2013	2013-09-24	A1	Japan	Japan Korea	0.75	<1y	<18y	<18y		2019-07-15	AFM	Kaida,A., Yamamoto,S.P., Iritani,N., Togawa,M., Amo,K., Kohdera,U., Nishigaki,T., Kageyama,T. and Kubo,H.	LC068708	
726-OsakaCity-JPN-2013	2013-10-08	A1	Japan	Japan Korea	2	1-5y	<18y	<18y		2019-07-15		Kaida,A., Yamamoto,S.P., Iritani,N., Togawa,M., Amo,K., Kohdera,U., Nishigaki,T., Kageyama,T. and Kubo,H.	LC068710	
727-OsakaCity-JPN-2013	2013-10-04	A1	Japan	Japan Korea	6	6-17y	<18y	<18y		2019-07-15		Kaida,A., Yamamoto,S.P., Iritani,N., Togawa,M., Amo,K., Kohdera,U., Nishigaki,T., Kageyama,T. and Kubo,H.	LC068711	
CAN14-344	2014-11-27 (2014-09-26 - 2014-12-31)	B2	Canada	North America						2019-07-15		McDermid,A.K., Grudeski,E., Wilcox,M., Mandes,R. and Booth,T.F.	KP455284	
CAN14-683	2014-09-16 (2014-07-22 - 2014-11-20)	B2	Canada	North America						2019-07-15		McDermid,A.K., Grudeski,E., Wilcox,M., Mandes,R. and Booth,T.F.	KP455283	
CAN14-183	2014-11-01 (2014-09-11 - 2014-12-29)	B2	Canada	North America						2019-07-15		McDermid,A.K., Grudeski,E., Wilcox,M., Mandes,R. and Booth,T.F.	KP455281	
EV-D68/Homosapiens/USA/SSENT32/2014	2014-09-24	B2	USA	North America	6	6-17y	<18y	<18y				Das,S.R., Halpin,R.A., Lin,X., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Katzel,D., Schobel,S., Shrivastava,S. and Smole,S.	KX351807	
CAN14-547	2014-10-08 (2014-08-25 - 2014-12-05)	B2	Canada	North America						2019-07-15		McDermid,A.K., Grudeski,E., Wilcox,M., Mandes,R. and Booth,T.F.	KP455282	
EV-D68/Homosapiens/USA/SSENT30/2014	2014-09-23	B2	USA	North America	5	1-5y	<18y	<18y				Das,S.R., Halpin,R.A., Lin,X., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Katzel,D., Schobel,S., Shrivastava,S. and Smole,S.	KX351799	
CAN14-459	2014-04-11 (2014-01-01 - 2014-12-31)	B2	Canada	North America						2019-07-15		McDermid,A.K., Grudeski,E., Wilcox,M., Mandes,R. and Booth,T.F.	KP455286	
EV-D68/Homosapiens/USA/SSENT20/2014	2014-09-17	B2	USA	North America	4	1-5y	<18y	<18y				Das,S.R., Halpin,R.A., Lin,X., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Katzel,D., Schobel,S., Shrivastava,S. and Smole,S.	KX351818	
NYS14_32132	2014-12-18 (2014-10-11 - 2014-12-31)	B2	USA	North America						2019-07-15		Lamson,D.M., Fagan,S. and St. George,K.	KT455429	
USA/PA/2014-19035	2014-09-02	B2	USA	North America						2019-07-15		Ng,T.F.F., Montmayeur,A., Chern,S.-W., Maher,K., Rogers,S., Castro,C., Oberste,S. and Nix,A.	KT995537	
US/CA/14-4231	2014-12-31 (2014-11-17 - 2014-12-31)	B2	USA	North America						2019-07-15		Hixon,A., Yu,G., Tyler,K. and Chiu,C.Y.	KU844181	
NY73	2014-09-25	B2	USA	North America	3	1-5y	<18y	<18y		2019-07-15		Huang,W., Wang,G., Zhuge,J., Nolan,S.M., Dimitrova,N. and Fallon,J.T.	KP745768	
NY74	2014-09-25	B2	USA	North America	4	1-5y	<18y	<18y		2019-07-15		Huang,W., Wang,G., Zhuge,J., Nolan,S.M., Dimitrova,N. and Fallon,J.T.	KP745769	
NYS14_28173	2014-10-05 (2014-09-09 - 2014-11-21)	B2	USA	North America						2019-07-15		Lamson,D.M., Fagan,S. and St. George,K.	KT455422	
US/IL/14-18952	2014-08-01 (2014-08-01 - 2014-08-26)	B2	USA	North America						2019-07-15		Brown,B.A., Nix,W.A., Sheth,M., Frace,M. and Oberste,M.S.	KM851230	
US/KY/14-18951	2014-08-31 (2014-08-08 - 2014-08-31)	B2	USA	North America						2019-07-15		Brown,B.A., Nix,W.A., Sheth,M., Frace,M. and Oberste,M.S.	KM851229	
USA/ID/2014-19068	2014-09-08	B2	USA	North America						2019-07-15		Ng,T.F.F., Montmayeur,A., Chern,S.-W., Maher,K., Rogers,S., Castro,C., Oberste,S. and Nix,A.	KT995555	
USA/CO/2014-19030	2014-08-31	B2	USA	North America						2019-07-15		Ng,T.F.F., Montmayeur,A., Chern,S.-W., Maher,K., Rogers,S., Castro,C., Oberste,S. and Nix,A.	KU669048	
USA/ID/2014-19224	2014-09-04 (2014-07-14 - 2014-11-26)	B2	USA	North America						2019-07-15		Ng,T.F.F., Montmayeur,A., Chern,S.-W., Maher,K., Rogers,S., Castro,C., Oberste,S. and Nix,A.	KT995588	
USA/UT/2014-19195	2014-08-18	B2	USA	North America						2019-07-15		Ng,T.F.F., Montmayeur,A., Chern,S.-W., Maher,K., Rogers,S., Castro,C., Oberste,S. and Nix,A.	KT995561	
USA/OR/2014-19269	2014-12-29	B2	USA	North America						2019-07-15		Ng,T.F.F., Montmayeur,A., Chern,S.-W., Maher,K., Rogers,S., Castro,C., Oberste,S. and Nix,A.	KU669039	
USA/WY/2014-19051	2014-09-11	B2	USA	North America						2019-07-15		Ng,T.F.F., Montmayeur,A., Chern,S.-W., Maher,K., Rogers,S., Castro,C., Oberste,S. and Nix,A.	KT995601	
EV68_Alberta17789_2014	2014-09-02	B2	Canada	North America						2019-07-15		Pabbaraju,K., Wong,S., Zarra,D., Gill,K., Drews,S., Tipples,G. and Tellier,R.	KP114665	
CAN14-235	2014-09-02 (2014-08-18 - 2014-10-07)	B2	Canada	North America						2019-07-15		McDermid,A.K., Grudeski,E., Wilcox,M., Mandes,R. and Booth,T.F.	KP455285	
TBp-13-Ph440	2013-12-31 (2013-12-05 - 2013-12-31)	B3	Philippines	Southeast Asia						2019-07-15		Chaimongkol,N., Okamoto,M., Furuse,Y., Nishimura,H. and Oshitani,H.	KX789261	
EVD68/Homosapiens/VNM/VN2/2014	2014-06-20 (2014-01-01 - 2014-12-31)	B3	Vietnam	Southeast Asia			<18y	<18y		2019-07-15		Nguyen,N.N.	MF045414	
EVD68/Homosapiens/VNM/VN1/2014	2014-05-08 (2014-01-01 - 2014-12-31)	B3	Vietnam	Southeast Asia			<18y	<18y		2019-07-15		Nguyen,N.N.	MF045413	
EVD68/Homosapiens/VNM/VN6/2014	2014-04-08 (2014-01-01 - 2014-12-31)	B3	Vietnam	Southeast Asia			<18y	<18y		2019-07-15		Nguyen,N.N.	MF045418	
EVD68/Homosapiens/VNM/VN4/2014	2014-06-08 (2014-01-01 - 2014-12-31)	B3	Vietnam	Southeast Asia			<18y	<18y		2019-07-15		Nguyen,N.N.	MF045416	
2014-R1357	2014-11-19	B3	China	China	8	6-17y	<18y	<18y		2019-07-15		Zhang,T.	KT280496	
Beijing-R0132	2014-08-11	B3	China	China	5	1-5y	<18y	<18y		2019-07-15		Zhang,T.	KP240936	
BCH4235A	2014-08-11	B3	China	China			<18y	<18y		2019-07-15		Xiang,Z. and Wang,J.	KT285485	
TW-02512-2014	2014-08-12	B3	Taiwan	China	3	1-5y	<18y	<18y		2019-07-15		Gong,Y.N., Yang,S.L., Shih,S.R., Huang,Y.C., Chang,P.Y., Huang,C.G., Kao,K.C., Hu,H.C., Liu,Y.C. and Tsao,K.C.	KT711086	
A184-OsakaC-JPN-2015	2015-07-27	B3	Japan	Japan Korea	0.17	<1y	<18y	<18y		2019-07-15		Kaida,A., Iritani,N., Yamamoto,S.P., Kanbayashi,D., Togawa,M., Amo,K., Kohdera,U., Nishigaki,T., Kageyama,T. and Kubo,H.	LC107897	
594-OsakaC-JPN-2015	2015-08-15	B3	Japan	Japan Korea	4.08	1-5y	<18y	<18y		2019-07-15		Kaida,A., Iritani,N., Yamamoto,S.P., Kanbayashi,D., Togawa,M., Amo,K., Kohdera,U., Nishigaki,T., Kageyama,T. and Kubo,H.	LC107895	
SMC-15-Sendai876	2015-09-30 (2015-09-05 - 2015-09-30)	B3	Japan	Japan Korea						2019-07-15		Chaimongkol,N., Okamoto,M., Furuse,Y., Nishimura,H. and Oshitani,H.	KX789266	
2014-R0672	2014-09-20	B3	China	China	10	6-17y	<18y	<18y		2019-07-15		Zhang,T.	KT280500	
CHN/CQ7188/2014	2014-09-11	B3	China	China	2.33	1-5y	<18y	<18y		2019-07-15		Xiao,Q., Zheng,S., Wang,L., Ren,L. and Liu,E.	KT803592	
