"","date","country","region","accession","accession_2","strain"
"111","2014-08-22","USA","North America","KT995565","KT995565.1","USA/IL/2014-19199"
"112","2014-09-12","USA","North America","KT347264","KT347264.1","EVD68/Homosapiens/USA/MO22/2014"
"113","2014-09-05","USA","North America","KT995541","KT995541.1","USA/CO/2014-19190"
"114","2014-09-09","USA","North America","KT995572","KT995572.1","USA/NE/2014-19206"
"116","2014-09-24","USA","North America","KT995610","KT995610.1","USA/GA/2014-19246"
"118","2014-09-01","USA","North America","MK681491","MK681491.1","USA/CA/2014-RGDS-1026"
"119","2014-08-31","USA","North America","KM851226","KM851226.1","US/MO/14-18948"
"120","2014-11-24","USA","North America","KT347267","KT347267.1","EVD68/Homosapiens/USA/MO34/2014"
"121","2014-09-06","USA","North America","KT347245","KT347245.1","EVD68/Homosapiens/USA/MO59/2014"
"122","2014-09-09","USA","North America","KT995592","KT995592.1","USA/TX/2014-19228"
"123","2014-09-09","USA","North America","KT995554","KT995554.1","USA/VA/2014-19187"
"124","2014-09-07","USA","North America","KT995611","KT995611.1","USA/FL/2014-19070"
"125","2014-10-18","USA","North America","KT347228","KT347228.1","EVD68/Homosapiens/USA/MO15/2014"
"126","2014-09-17","USA","North America","KT347261","KT347261.1","EVD68/Homosapiens/USA/MO60/2014"
"127","2014-09-28","USA","North America","KP745753","KP745753.1","NY126"
"128","2014-09-08","USA","North America","KT995534","KT995534.1","USA/LA/2014-19168"
"129","2014-09-06","USA","North America","KT995602","KT995602.1","USA/MI/2014-19238"
"130","2014-09-09","USA","North America","KT995586","KT995586.1","USA/WI/2014-19222"
"131","2014-09-30","USA","North America","MK681497","MK681497.1","USA/CA/2014-RGDS-1032"
"133","2014-08-04","USA","North America","KT995552","KT995552.1","USA/TX/2014-19185"
"134","2014-09-27","USA","North America","KT347276","KT347276.1","EVD68/Homosapiens/USA/MO21/2014"
"135","2014-09-24","USA","North America","KT995617","KT995617.1","USA/ND/2014-19252"
"136","2014-09-28","USA","North America","KP745770","KP745770.1","NY77"
"137","2014-10-14","USA","North America","KP745757","KP745757.1","NY210"
"138","2014-09-15","USA","North America","KT995597","KT995597.1","USA/CT/2014-19233"
"141","2014-09-28","USA","North America","KP745751","KP745751.1","NY120"
"142","2014-09-30","USA","North America","KP745754","KP745754.1","NY130"
"144","2014-09-25","USA","North America","KT995615","KT995615.1","USA/NJ/2014-19250"
"145","2014-09-25","USA","North America","KT995627","KT995627.1","USA/NJ/2014-19262"
"146","2014-09-09","USA","North America","KT995584","KT995584.1","USA/LA/2014-19220"
"147","2014-10-27","USA","North America","KT347269","KT347269.1","EVD68/Homosapiens/USA/MO45/2014"
"148","2014-09-13","USA","North America","KT995623","KT995623.1","USA/CO/2014-19258"
"149","2014-09-18","USA","North America","KP745758","KP745758.1","NY263"
"150","2014-09-19","USA","North America","KP745759","KP745759.1","NY275"
"151","2014-09-13","USA","North America","KT995583","KT995583.1","USA/KY/2014-19219"
"152","2014-09-09","USA","North America","KT995546","KT995546.1","USA/MA/2014-19048"
"153","2014-08-28","USA","North America","KT995569","KT995569.1","USA/RI/2014-19203"
"154","2014-09-16","USA","North America","KT995600","KT995600.1","USA/KY/2014-19236"
"155","2014-11-01","USA","North America","MK681502","MK681502.1","USA/CA/2014-RGDS-1037"
"156","2014-09-15","USA","North America","KT995608","KT995608.1","USA/CO/2014-19244"
"157","2014-09-12","USA","North America","KT995585","KT995585.1","USA/MI/2014-19221"
"158","2014-09-29","USA","North America","KU669042","KU669042.1","USA/MI/2014-19266"
"159","2014-11-08","USA","North America","KT347271","KT347271.1","EVD68/Homosapiens/USA/MO7/2014"
"160","2014-09-14","USA","North America","KT995576","KT995576.1","USA/KY/2014-19209"
"161","2014-09-09","USA","North America","KT995566","KT995566.1","USA/GA/2014-19200"
"163","2014-09-03","USA","North America","KT995582","KT995582.1","USA/SC/2014-19215"
"164","2014-06-08","USA","North America","KT347248","KT347248.1","EVD68/Homosapiens/USA/MO13/2014"
"165","2014-09-11","USA","North America","KT995622","KT995622.1","USA/NE/2014-19257"
"166","2014-08-27","USA","North America","KT995533","KT995533.1","USA/CO/2014-19175"
"167","2014-11-29","USA","North America","KT347265","KT347265.1","EVD68/Homosapiens/USA/MO36/2014"
"168","2014-09-12","USA","North America","KT995580","KT995580.1","USA/RI/2014-19213"
"174","2014-10-01","USA","North America","KT995624","KT995624.1","USA/VT/2014-19259"
"181","2014-09-16","USA","North America","KT995596","KT995596.1","USA/MA/2014-19232"
"182","2014-09-03","USA","North America","KT995540","KT995540.1","USA/CO/2014-19189"
"183","2014-09-30","USA","North America","KT347257","KT347257.1","EVD68/Homosapiens/USA/MO10/2014"
"184","2014-09-30","USA","North America","MK681498","MK681498.1","USA/CA/2014-RGDS-1033"
"185","2014-09-14","USA","North America","KT995591","KT995591.1","USA/AR/2014-19227"
"187","2014-09-30","USA","North America","KT995619","KT995619.1","USA/NC/2014-19254"
"188","2014-09-26","USA","North America","KT347227","KT347227.1","EVD68/Homosapiens/USA/MO26/2014"
"189","2014-09-19","USA","North America","KP745760","KP745760.1","NY278"
"190","2014-11-08","USA","North America","KT347231","KT347231.1","EVD68/Homosapiens/USA/MO40/2014"
"191","2014-10-02","USA","North America","KP745755","KP745755.1","NY153"
"192","2014-09-14","USA","North America","KT995595","KT995595.1","USA/OR/2014-19073"
"193","2014-10-31","USA","North America","MK681500","MK681500.1","USA/CA/2014-RGDS-1035"
