"","date","country","region","accession","accession_2","strain"
"76","2014-09-30","China","China","KT803597","KT803597.1","CHN/CQ7233/2014"
"77","2014-09-22","China","China","KT803593","KT803593.1","CHN/CQ7208/2014"
"78","2014-10-13","China","China","KT803595","KT803595.1","CHN/CQ7280/2014"
"79","2014-08-01","Taiwan","China","KT711084","KT711084.1","TW-00821-2014"
"80","2014-09-03","Taiwan","China","KT711085","KT711085.1","TW-00928-2014"
"81","2014-09-11","Taiwan","China","KT711081","KT711081.1","TW-00932-2014"
"82","2014-09-02","Taiwan","China","KT711080","KT711080.1","TW-00909-2014"
"83","2014-08-22","Taiwan","China","KT711079","KT711079.1","TW-00893-2014"
"84","2014-08-20","Taiwan","China","KT711082","KT711082.1","TW-00898-2014"
"85","2014-07-17","Taiwan","China","KT711083","KT711083.1","TW-00785-2014"
"86","2014-08-19","Taiwan","China","KT711078","KT711078.1","TW-00880-2014"
"87","2013-01-28","Vietnam","Southeast Asia","MF045422","MF045422.1","EVD68/Homosapiens/VNM/VN10/2013"
"88","2015-09-17","Japan","Japan Korea","LC107900","LC107900.1","A250-OsakaC-JPN-2015"
"89","2015-11-11","Hong Kong","China","MG739636","MG739636.1","HongKong/CUHK47134"
"90","2015-09-11","Japan","Japan Korea","LC107899","LC107899.1","A244-OsakaC-JPN-2015"
"91","2015-08-07","Japan","Japan Korea","LC107898","LC107898.1","A241-OsakaC-JPN-2015"
"92","2015-11-15","Hong Kong","China","MG739637","MG739637.1","HongKong/CUHK61194"
"93","2015-10-08","Hong Kong","China","MG739633","MG739633.1","HongKong/CUHK12619"
"94","2015-10-14","Hong Kong","China","MG739635","MG739635.1","HongKong/CUHK16709"
"95","2015-10-04","Hong Kong","China","MG739632","MG739632.1","HongKong/CUHK09970"
"96","2015-11-23","China","China","KU982558","KU982558.1","EVD68/SZ01/CHN/2015"
"97","2015-10-13","Hong Kong","China","MG739634","MG739634.1","HongKong/CUHK15980"
"98","2015-09-01","Japan","Japan Korea","KX789265","KX789265.1","SMC-15-Sendai830"
"99","2015-09-01","Japan","Japan Korea","KX789267","KX789267.1","SMC-15-Sendai881"
"100","2015-09-30","Japan","Japan Korea","KX789264","KX789264.1","SMC-15-Sendai823"
"101","2015-09-30","Japan","Japan Korea","KX789224","KX789224.1","TU-15-Sendai727"
"102","2015-09-30","Japan","Japan Korea","KX789223","KX789223.1","TU-15-Sendai728"
"103","2015-09-30","Japan","Japan Korea","KX789222","KX789222.1","TU-15-Sendai729"
"104","2015-08-28","Japan","Japan Korea","LC107896","LC107896.1","639-OsakaC-JPN-2015"
"105","2015-11-21","China","China","KU982559","KU982559.1","EVD68/SZ02/CHN/2015"
"106","2015-11-21","China","China","KU982560","KU982560.1","EVD68/SZ03/CHN/2015"
"107","2013-01-01","USA","North America","KM892501","KM892501.1","CA/AFP/11-1767"
"108","2013-07-20","China","China","KT280504","KT280504.1","2013-0720-6"
"109","2013-01-01","USA","North America","KM892499","KM892499.1","CA/AFP/v12T00346"
"110","2013-11-30","USA","North America","KP100794","KP100794.1","US/CO/13-60"
"111","2014-09-26","USA","North America","KP745767","KP745767.1","NY329"
"112","2014-10-05","USA","North America","KP745756","KP745756.1","NY160"
"113","2014-10-15","USA","North America","KU669045","KU669045.1","USA/MI/2014-19082"
"114","2014-09-08","USA","North America","KT995539","KT995539.1","USA/VA/2014-19178"
"115","2014-09-12","USA","North America","KT995574","KT995574.1","USA/VA/2014-19218"
"116","2014-09-11","USA","North America","KX255411","KX255411.1","EV-D68/Homosapiens/USA/C7730/2014"
"117","2014-09-10","USA","North America","KT995548","KT995548.1","USA/IA/2014-19171"
"118","2014-07-26","USA","North America","KX255403","KX255403.1","EV-D68/Homosapiens/USA/C7716/2014"
"119","2014-07-22","USA","North America","KX255362","KX255362.1","EV-D68/Homosapiens/USA/C7715/2014"
"120","2014-07-20","USA","North America","KX255390","KX255390.1","EV-D68/Homosapiens/USA/C7714/2014"
"121","2014-09-08","USA","North America","KX255378","KX255378.1","EV-D68/Homosapiens/USA/C7729/2014"
"122","2014-10-03","USA","North America","KX255379","KX255379.1","EV-D68/Homosapiens/USA/C7793/2014"
"123","2014-08-25","Canada","North America","KP455279","KP455279.1","CAN14-144"
"124","2014-08-12","USA","North America","KX255352","KX255352.1","EV-D68/Homosapiens/USA/C7720/2014"
"125","2014-08-14","USA","North America","KX255415","KX255415.1","EV-D68/Homosapiens/USA/C7721/2014"
"126","2014-09-15","Canada","North America","KT835408","KT835408.1","EV68/Ontario/C818712/2014"
"127","2014-09-13","USA","North America","KX255385","KX255385.1","EV-D68/Homosapiens/USA/C7733/2014"
"128","2014-09-12","USA","North America","KX255354","KX255354.1","EV-D68/Homosapiens/USA/C7731/2014"
"129","2014-09-25","USA","North America","KU669043","KU669043.1","USA/MI/2014-19265"
"130","2014-08-29","USA","North America","KT995557","KT995557.1","USA/OH/2014-19192"
"131","2014-09-19","USA","North America","KX351812","KX351812.1","EV-D68/Homosapiens/USA/SSENT10/2014"
"132","2014-09-10","USA","North America","KT995547","KT995547.1","USA/MA/2014-19183"
"133","2014-06-25","USA","North America","KT347275","KT347275.1","EVD68/Homosapiens/USA/MO35/2014"
"134","2014-09-17","USA","North America","KT995604","KT995604.1","USA/OH/2014-19240"
"135","2014-09-08","USA","North America","KT995538","KT995538.1","USA/PA/2014-19177"
"136","2014-06-18","Canada","North America","KP455280","KP455280.1","CAN14-187"
"137","2014-08-27","USA","North America","KT995587","KT995587.1","USA/OH/2014-19223"
"138","2014-09-08","USA","North America","KT995562","KT995562.1","USA/SC/2014-19196"
"139","2014-09-07","USA","North America","KT347247","KT347247.1","EVD68/Homosapiens/USA/MO41/2014"
"140","2014-12-31","USA","North America","KU844180","KU844180.1","US/CA/14-4232"
"141","2014-09-09","USA","North America","KT995544","KT995544.1","USA/VA/2014-19181"
"142","2014-09-06","USA","North America","KT995542","KT995542.1","USA/IL/2014-19179"
"143","2014-09-07","USA","North America","KT995545","KT995545.1","USA/KY/2014-19182"
"144","2014-08-23","USA","North America","KT455427","KT455427.1","NYS14_31249"
"145","2014-08-31","Canada","North America","KP114663","KP114663.1","EV68_Alberta4693_2014"
"146","2014-10-17","USA","North America","KT347258","KT347258.1","EVD68/Homosapiens/USA/MO12/2014"
"147","2014-09-09","USA","North America","KT995628","KT995628.1","USA/PA/2014-19263"
"148","2014-09-08","USA","North America","KT347233","KT347233.1","EVD68/Homosapiens/USA/MO19/2014"
"149","2014-08-27","USA","North America","KT347278","KT347278.1","EVD68/Homosapiens/USA/MO8/2014"
"150","2014-08-18","USA","North America","KT347252","KT347252.1","EVD68/Homosapiens/USA/MO51/2014"
"151","2014-12-31","USA","North America","KT347254","KT347254.1","EVD68/Homosapiens/USA/MO33/2014"
"152","2013-10-07","USA","North America","KX255387","KX255387.1","EV-D68/Homosapiens/USA/O4445/2013"
"153","2013-10-15","USA","North America","KX255398","KX255398.1","EV-D68/Homosapiens/USA/O4446/2013"
"154","2013-10-15","USA","North America","KX433165","KX433165.1","EV-D68/Homosapiens/USA/O4444/2013"
