"","date","country","region","accession","accession_2","strain"
"313","2014-09-14","USA","North America","KT995568","KT995568.1","USA/CT/2014-19202"
"314","2014-09-25","USA","North America","KP745765","KP745765.1","NY326"
"315","2014-11-15","USA","North America","KU669040","KU669040.1","USA/OR/2014-19268"
"316","2014-09-17","USA","North America","KU669047","KU669047.1","USA/AL/2014-19061"
"317","2014-09-18","USA","North America","KT995620","KT995620.1","USA/VA/2014-19255"
"318","2014-09-24","USA","North America","KT995618","KT995618.1","USA/WY/2014-19253"
"319","2014-11-08","USA","North America","KT347241","KT347241.1","EVD68/Homosapiens/USA/MO18/2014"
"320","2014-09-20","USA","North America","KT995607","KT995607.1","USA/MS/2014-19243"
"321","2014-09-10","USA","North America","KT995593","KT995593.1","USA/NC/2014-19229"
"322","2014-09-16","USA","North America","KT995606","KT995606.1","USA/WV/2014-19242"
"323","2014-09-22","USA","North America","KP745761","KP745761.1","NY305"
"324","2014-09-09","USA","North America","KT995563","KT995563.1","USA/DE/2014-19197"
"325","2014-09-01","USA","North America","KP100792","KP100792.1","US/CA/14-6092"
"326","2014-09-16","USA","North America","KT995594","KT995594.1","USA/CT/2014-19230"
"327","2014-09-23","USA","North America","KP745762","KP745762.1","NY309"
"328","2014-10-05","USA","North America","KT347273","KT347273.1","EVD68/Homosapiens/USA/MO42/2014"
"329","2014-08-04","USA","North America","KT347238","KT347238.1","EVD68/Homosapiens/USA/MO32/2014"
"330","2014-09-09","USA","North America","KT995553","KT995553.1","USA/NC/2014-19064"
"331","2014-09-24","USA","North America","KP745764","KP745764.1","NY316"
"332","2014-08-05","USA","North America","KX255382","KX255382.1","EV-D68/Homosapiens/USA/C7787/2014"
"333","2014-09-22","USA","North America","KX351800","KX351800.1","EV-D68/Homosapiens/USA/SSENT31/2014"
"334","2014-10-04","USA","North America","KP100796","KP100796.1","US/CA/14-6100"
"335","2014-10-04","USA","North America","KP100795","KP100795.1","US/CA/14-6103SIB"
"336","2014-12-31","Canada","North America","KP455271","KP455271.1","CAN14-453"
"337","2014-10-16","USA","North America","MK681503","MK681503.1","USA/CA/2014-RGDS-1038"
"338","2014-10-02","USA","North America","MK681501","MK681501.1","USA/CA/2014-RGDS-1036"
"339","2014-09-30","USA","North America","MK681494","MK681494.1","USA/CA/2014-RGDS-1029"
"340","2014-10-01","USA","North America","MK681495","MK681495.1","USA/CA/2014-RGDS-1030"
"341","2014-09-12","USA","North America","KT995579","KT995579.1","USA/NJ/2014-19212"
"342","2014-08-01","USA","North America","KU669044","KU669044.1","USA/TX/2014-19083"
"343","2014-10-09","USA","North America","KT347244","KT347244.1","EVD68/Homosapiens/USA/MO3/2014"
"344","2014-10-31","USA","North America","MK681499","MK681499.1","USA/CA/2014-RGDS-1034"
"345","2014-09-09","USA","North America","KT995558","KT995558.1","USA/WI/2014-19217"
"346","2014-09-14","USA","North America","KT995578","KT995578.1","USA/WA/2014-19060"
"347","2014-09-09","USA","North America","KT995577","KT995577.1","USA/WA/2014-19210"
"348","2014-09-30","USA","North America","MK681489","MK681489.1","USA/CA/2014-RGDS-1024"
"349","2014-10-26","USA","North America","MK681496","MK681496.1","USA/CA/2014-RGDS-1031"
"350","2014-12-09","USA","North America","KT347240","KT347240.1","EVD68/Homosapiens/USA/MO49/2014"
"351","2014-12-31","USA","North America","KT347239","KT347239.1","EVD68/Homosapiens/USA/MO6/2014"
"352","2014-10-01","USA","North America","MK681493","MK681493.1","USA/CA/2014-RGDS-1028"
"353","2014-07-19","Canada","North America","KP455272","KP455272.1","CAN14-534"
"354","2014-09-08","USA","North America","KT995559","KT995559.1","USA/SD/2014-19193"
"355","2014-09-10","USA","North America","KT995551","KT995551.1","USA/WA/2014-19184"
"356","2014-09-13","USA","North America","KT995573","KT995573.1","USA/SD/2014-19207"
"357","2014-09-23","USA","North America","KT995614","KT995614.1","USA/SD/2014-19249"
"358","2014-09-22","USA","North America","KX255413","KX255413.1","EV-D68/Homosapiens/USA/C7788/2014"
"359","2014-09-24","USA","North America","KX255395","KX255395.1","EV-D68/Homosapiens/USA/C7789/2014"
"360","2014-08-31","USA","North America","KM851227","KM851227.1","US/MO/14-18949"
"361","2014-08-15","USA","North America","KM851228","KM851228.1","US/MO/14-18950"
"362","2014-12-31","USA","North America","KT455428","KT455428.1","NYS14_31590"
"363","2014-09-28","USA","North America","KX351806","KX351806.1","EV-D68/Homosapiens/USA/SSENT36/2014"
"364","2014-09-17","USA","North America","KT455430","KT455430.1","NYS14_32368"
"365","2014-08-16","USA","North America","KT455421","KT455421.1","NYS14-27898"
"366","2014-09-21","USA","North America","KT347225","KT347225.1","EVD68/Homosapiens/USA/MO25/2014"
"367","2014-09-21","USA","North America","KT347268","KT347268.1","EVD68/Homosapiens/USA/MO50/2014"
"368","2014-10-26","USA","North America","KT347237","KT347237.1","EVD68/Homosapiens/USA/MO30/2014"
"369","2014-09-29","USA","North America","KT347226","KT347226.1","EVD68/Homosapiens/USA/MO53/2014"
"370","2014-09-13","USA","North America","KT347272","KT347272.1","EVD68/Homosapiens/USA/MO44/2014"
"371","2014-10-11","USA","North America","KT347250","KT347250.1","EVD68/Homosapiens/USA/MO37/2014"
"372","2014-11-17","USA","North America","KT347255","KT347255.1","EVD68/Homosapiens/USA/MO23/2014"
"373","2014-09-29","USA","North America","KT347242","KT347242.1","EVD68/Homosapiens/USA/MO5/2014"
"374","2014-11-07","USA","North America","KT455425","KT455425.1","NYS14_30905"
"375","2014-12-31","USA","North America","KT455426","KT455426.1","NYS14_30917"
"376","2014-09-09","USA","North America","KT995543","KT995543.1","USA/CT/2014-19180"
"377","2014-12-16","USA","North America","KT347246","KT347246.1","EVD68/Homosapiens/USA/MO56/2014"
"378","2014-09-05","USA","North America","KT347243","KT347243.1","EVD68/Homosapiens/USA/MO14/2014"
"379","2014-07-13","USA","North America","KT347235","KT347235.1","EVD68/Homosapiens/USA/MO4/2014"
"380","2014-09-19","USA","North America","KT347270","KT347270.1","EVD68/Homosapiens/USA/MO17/2014"
"381","2014-10-23","USA","North America","KT347230","KT347230.1","EVD68/Homosapiens/USA/MO48/2014"
"382","2014-09-13","USA","North America","KT995581","KT995581.1","USA/RI/2014-19214"
"383","2014-09-23","USA","North America","KT347234","KT347234.1","EVD68/Homosapiens/USA/MO1/2014"
"384","2014-11-10","USA","North America","KT347277","KT347277.1","EVD68/Homosapiens/USA/MO2/2014"
"385","2014-10-16","USA","North America","KT347229","KT347229.1","EVD68/Homosapiens/USA/MO31/2014"
"386","2014-11-10","USA","North America","KT347256","KT347256.1","EVD68/Homosapiens/USA/MO20/2014"
"387","2014-10-20","USA","North America","KT347262","KT347262.1","EVD68/Homosapiens/USA/MO57/2014"
"388","2014-08-24","USA","North America","KT995531","KT995531.1","USA/MO/2014-19166"
"389","2014-09-11","USA","North America","KT995590","KT995590.1","USA/WI/2014-19226"
"390","2014-09-10","USA","North America","KT995612","KT995612.1","USA/OK/2014-19247"
"391","2014-10-07","USA","North America","KT347232","KT347232.1","EVD68/Homosapiens/USA/MO46/2014"
"392","2014-09-15","USA","North America","KT995598","KT995598.1","USA/KS/2014-19234"
"393","2014-12-31","USA","North America","KT455423","KT455423.1","NYS14_30603"
"394","2014-09-16","USA","North America","KX351802","KX351802.1","EV-D68/Homosapiens/USA/SSENT06/2014"
"395","2014-10-10","USA","North America","KT455424","KT455424.1","NYS14_30609"
"396","2014-07-16","USA","North America","KT347266","KT347266.1","EVD68/Homosapiens/USA/MO27/2014"
"397","2014-09-08","USA","North America","KT995564","KT995564.1","USA/MI/2014-19198"
"398","2014-11-30","USA","North America","MK681504","MK681504.1","USA/CA/2014-RGDS-1039"
"399","2014-12-01","USA","North America","MK681505","MK681505.1","USA/CA/2014-RGDS-1040"
"400","2014-09-12","USA","North America","KU669046","KU669046.1","USA/CO/2014-19081"
"401","2014-09-12","USA","North America","KP126911","KP126911.1","US/CO/14-93"
"402","2014-09-12","USA","North America","KP100793","KP100793.1","US/CO/14-94"
"403","2014-10-29","Canada","North America","KP455270","KP455270.1","CAN14-884"
"404","2014-11-28","Canada","North America","KP455267","KP455267.1","CAN14-537"
"405","2014-09-30","Canada","North America","KP455269","KP455269.1","CAN14-153"
"406","2014-12-05","Canada","North America","KP455268","KP455268.1","CAN14-636"
